Name of School,LGA,Ownership,Type of School,Email,Phone Numbers,Link
"BERKLEY SCIENCE MAGNET SCHOOL, Ogudu G.R.A",Privately owned,Kosofe,Nursery/Primary, contact@berleysciencemagnet.org," 0806 239 0282, 0802 719 8049","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/11138"",""Read more"")"
"BESSIE INTERNATIONAL SCHOOL, Mafoluku",Privately owned,Oshodi-Isolo,Nursery/Primary, bessiesola@yahoo.co.uk," 0803 718 1497,","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3934"",""Read more"")"
"BEST CHOICE CHILDREN SCHOOL, Ejigbo",Privately owned,Oshodi-Isolo,Nursery/Primary, bcs2000@yahoo.com," 0803 713 7332,  0706 938 3762,   01 820 9354","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/7831"",""Read more"")"
"BEST STEP NUR/PRY SCHOOL, Idi-Araba",Privately owned, Mushin,Nursery/Primary, beststepprivatesch@yahoo.com," 0805 919 8646,  0802 760 4896,  0805 919 8846,    0702 528 5310, ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4409"",""Read more"")"
"BESTGIFT NURSERY & PRIMARY SCHOOL, Ijegun ",Privately owned,Alimosho,Nursery/Primary, bestgiftcomp@gmail.com," 0808 172 2525,   0806 340 9995,   ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5006"",""Read more"")"
"BETA SCHOOL NUR/PRY, Ojo Cantonment",Privately owned,Ojo,Nursery/Primary, ," 0818 151 3777,    0802-462-5489","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3829"",""Read more"")"
BETHANY HALL NURSERY PRIMARY SCHOOL,Privately owned,,Nursery/Primary, , 0803 334 9754,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/105303"",""Read more"")"
"BETHEL COMPREHENSIVE COLLEGE, Papa Ajao",Privately owned, Mushin,Nursery/Primary, honourableoni@gmail.com," 0803 331 8316,  0803 805 5550, ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/74428"",""Read more"")"
"BETHEL GEMINI NUR & PRY SCHOOL, Ikeja",Privately owned, Ikeja,Nursery/Primary, bgnps_heavenlight@yahoo.com," 0802 971 7632,   0805 671 0255","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3724"",""Read more"")"
"BETHVIEW INTERNATIONAL SCHOOL,Ipaja",Privately owned,Alimosho,Nursery/Primary, bethviewschool@yahoo.com," 0803 942 4750, or   0802 315 6311","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4311"",""Read more"")"
"BETKAY INTERNATIONAL NUR & PRY SCHOOL, Isolo",Privately owned,Oshodi-Isolo,Nursery/Primary, ," 0812 919 7858,  0803 828 9803","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/49207"",""Read more"")"
"BETTER DAYS NUR/PRY SCHOOL, Bariga",Privately owned, Shomolu,Nursery/Primary, betterdaysschools@yahoo.com, 08150756163; 08038052076,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/51029"",""Read more"")"
"BEULAHFIELD SCHOOLS, Ejigbo",Privately owned,Oshodi-Isolo,Nursery/Primary, ," 0803 385 5553,     0806 234 8776","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4060"",""Read more"")"
BFET HOMEZONE N/P SCHOOL Iyana-ipaja,Privately owned,Alimosho,Nursery/Primary, bfetschools@yahoo.com," 0704 623 8123,  0806 475 0781,  0805 778 45171","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/61105"",""Read more"")"
"BIA MONTESSORI NURSERY/PRIMARY SCHOOL, Araromi-Ale Phase 2",Privately owned, Badagry ,Nursery/Primary, biamontess@yahoo.com," 0803 474 4332,   0803 040 0415","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/8703"",""Read more"")"
"BIGGA NURSERY & PRIMARY SCHOOL, Agbede-Olosugbo",Privately owned,Ikorodu,Nursery/Primary, biggaschools@yahoo.com," 0816 451 2722,  0708 400 8044","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/49246"",""Read more"")"
"BIGTOP NURSERY & PRIMARY SCHOOL, Sholumade",Privately owned,Ikorodu,Nursery/Primary, bigtopgroup2005@hotmail.com," 0802 443 3671, 0809 890 0253,   0812 127 3539,   01 898 6412","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4083"",""Read more"")"
"BILLINS INTERNATIONAL NUR & PRY SCHOOL, Bagidan",Privately owned,Ikorodu,Nursery/Primary, info@billinsinternationalschools.com," 0802 308 4153,  0806 313 3806","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/90357"",""Read more"")"
"BILMOD PRIVATE SCHOOL, Lagos-Island",Privately owned,Lagos-Island,Nursery/Primary, bilmodprivateschool@tahoo.com," 0802 696 2315, ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/92410"",""Read more"")"
"BIMSTAR NURSERY/PRIMARY SCHOOL, Oko-Oba",Privately owned,Agege,Nursery/Primary, ," 0807 099 9688, 0813 022 7464","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4050"",""Read more"")"
"BINEY MEMORIAL PRIMARY SCHOOL,  Mosalasi",State owned, Mushin,Nursery/Primary, bineymemeorial@lagosschoolsonline.com," 0803 359 5280, 0807 456 4156","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/806"",""Read more"")"
"BINTA INTERNATIONAL SCHOOL, Ejigbo",Privately owned,Oshodi-Isolo,Nursery/Primary, bintaschool@yahoo.com, 0803 423 9991  or  0802 346 9194,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4301"",""Read more"")"
BIOCHILD NP SCHOOL,Privately owned,Alimosho,Nursery/Primary, , 08024142075,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/105220"",""Read more"")"
"BIS-BOLAD NURSERY & PRIMARY, Ajangbadi",Privately owned,Ojo,Nursery/Primary, olaotan.kuku@yahoo.com, 2348085067150; 2348037274932,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/9140"",""Read more"")"
"BISBELL PRIVATE SCHOOL, Agbede-Olorogbo",Privately owned,Ikorodu,Nursery/Primary, bisbellprivateschool@yahoo.co.uk," 0803 354 4903,     0706 234 0784","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3920"",""Read more"")"
BISBOL NUR/PRY SCHOOL ,Privately owned,Agege,Nursery/Primary, , ,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2167"",""Read more"")"
"BISHOP AJANA MEM. PRY SCHL, Oke-Koto",State owned,Agege,Nursery/Primary, bajanaagege@lagosschoolsonline.com," 0803 720 7393,0802 906 6492","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/20"",""Read more"")"
"BISHOP CROWTHER MEMORIAL PRIMARY SCHOOL, Bariga",State owned, Shomolu,Nursery/Primary, Bishopcrowther@lagosschoolsonline.com, 0802 308 5166,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2527"",""Read more"")"
"BISHOP HOWELLS MEMORIAL PRIMARY SCHOOL, Bariga",State owned, Shomolu,Nursery/Primary, bishophowell's@lagosschoolsonline.com," 0803 725 3483, 0807 456 5621","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2504"",""Read more"")"
"BISHOP OLUWOLE MEMORIAL PRIMARY SCHOOL, Ifako",State owned,Ifako/Ijaiye,Nursery/Primary, bishopoluwolememorialpryschool@lagosschoolsonline.com, 0803 356 1777,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2644"",""Read more"")"
"BISI NURSERY/PRIMARY SCHOOL, Mushin",Privately owned, Mushin,Nursery/Primary, ," 0703 522 0810, 0803 723 2497","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3153"",""Read more"")"
"BLESSED AND JOYOUS CHILDREN SCHOOL, Surulere",Privately owned,Surulere,Nursery/Primary, ," 0802 827 4607,  0802 916 3994,   0702 994 1870","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3243"",""Read more"")"
"BLESSED ASSURANCE INTERNATIONAL SCHOOLS, Ikotun",Privately owned,Alimosho,Nursery/Primary, olowole 2003@yahoo.com, 0802-360-1526   or    0802-375-3373.,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3620"",""Read more"")"
"BLESSED CHILDRENS NUR/PRY SCHOOL, Ikotun ",Privately owned,Alimosho,Nursery/Primary, yrukky@yahoo.com," 0803 531 1660,0805 214 2290","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4471"",""Read more"")"
"BLESSED DAY NUR/PRY SCHOOL, Ijeshatedo",Privately owned,Surulere,Nursery/Primary," blessedday2011@yahoo.com, blesseddayschool@gmail.com"," 0802 368 4176, ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3971"",""Read more"")"
BLESSED IMPACT NURSERY PRIMARY SCHOOL ,Privately owned,,Nursery/Primary, , 0803 435 0628,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/105370"",""Read more"")"
"BLESSED INTERNATIONAL NURSERY & PRIMARY SCHOOL, Iyana-Ipaja",Privately owned,Alimosho,Nursery/Primary, , 0802 323 3896,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3349"",""Read more"")"
"BLESSING NURSERY/PRIMARY SCHOOL, Mafoluku-Oshodi",Privately owned,Oshodi-Isolo,Nursery/Primary, blessinschools@yahoo.com," 0803 854 0472, 0803 508 8884","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2939"",""Read more"")"
"BLESTA LAND NUR/PRY SCH, Ajangbadi",Privately owned,Ojo,Nursery/Primary, ," 0803 506 1135,     0803 085 2134","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3168"",""Read more"")"
"BLUE RIBBON NURSERY & PRIMARY SCHOOL, Orile Agege",Privately owned,Agege,Nursery/Primary, blueribbonschoolsng.com, 0802 307 6697,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3987"",""Read more"")"
"BLUEGATE PRIVATE NUR/PRY SCHOOL, Mofo",Privately owned,Ikorodu,Nursery/Primary, bluegateprivateschools@yahoo.com, 0803 961 4691  or  0802 325 9498,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3137"",""Read more"")"
"BLUESLEEVES PRIVATE SCHOOL, Alasia",Privately owned,Oshodi-Isolo,Nursery/Primary, bluesleeves01@yahoo.com," 0802 319 9886,0808 572 7943","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3667"",""Read more"")"
"BOF NURSERY & PRIMARY SCHOOL, Aguda ",Privately owned,Surulere,Nursery/Primary, bof_onif@yahoo.com," 0802 846 8763, 0802 320 0872","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/49536"",""Read more"")"
"BOFAT PRIVATE SCHOOL, Idimu",Privately owned,Alimosho,Nursery/Primary, ," 0803 780 4288, 0706 636 7659,  0803 721 5044","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/6574"",""Read more"")"
"BOLA IMMACULATE PRIVATE SCHOOL, Owutu",Privately owned,Ikorodu,Nursery/Primary, ," 0802 422 8713,   0802 450 9866","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/10090"",""Read more"")"
"BOLA MEMORIAL (ANG) PRIMARY SCHOOL,  Ikeja",State owned, Ikeja,Nursery/Primary, bolamemorial@lagosschoolsonline.com, 0807 457 3263,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2326"",""Read more"")"
"BOLAFADE NURSERY & PRIMARY SCHOOL, Lagos ",Privately owned,Lagos-Island,Nursery/Primary, bolafadeschools@yahoo.com," 0802 306 1213,  0802 761 6876","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/8553"",""Read more"")"
"BOLDAMIDE SCHOOLS, Ilasamaja",Privately owned, Mushin,Nursery/Primary, boldamideschoolslg@yahoo.com, 0802 319 1000,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/6829"",""Read more"")"
"BOLU GENERATION NUR. & PRY SCHOOL, Ilupeju",Privately owned, Mushin,Nursery/Primary, boluprivateschool@gmail.com," 0817 322 4522,  0812 000 2617","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/64331"",""Read more"")"
"BOLUDURO NURSERY & PRIMARY SCHOOL, Hamadiya",Privately owned,Ifako/Ijaiye,Nursery/Primary, bolud2010@yahoo.com," 0703 470 7862,0802 303 7683,01 764 5698","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5480"",""Read more"")"
"BOMAK NURSERY & PRIMARY SCHOOL, Ijesha",Privately owned,Surulere,Nursery/Primary, orisglobal2010@yahoo.com," 0803 822 7689,  0802 756 2757","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4610"",""Read more"")"
"BONJEH HIGH SCHOOL, Okokomaiko",Privately owned,Ojo,Nursery/Primary, , 0802 382 7825,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2988"",""Read more"")"
"BONNY CAMP PRIMARY SCHOOL, V.Island",State owned,Eti-Osa,Nursery/Primary, bonnycampsch@lagosschoolsonline.com," 0802 374 4971,  0815 929 0221","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/682"",""Read more"")"
"BOOKMAN ACADEMY, Satellite Town",Privately owned,Amuwo-Odofin,Nursery/Primary, bookmanconsult@yahoo.com," 0802 303 3216,  0812 015 3387,   0803 747 1052,   0803 358 2164","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5569"",""Read more"")"
"BOSOL GODS WILL NUR/PRY SCHOOL, Aboru",Privately owned,Alimosho,Nursery/Primary, isaac.bhadmus@gmail.com," 0803 328 0761,  0812 744 1699,  018761226","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4155"",""Read more"")"
"BOSOM PRIVATE SCHOOL, Mushin",Privately owned, Mushin,Nursery/Primary, pastphillipfunmi@yahoo.com," 0803 410 0310,   0803 410 0310","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/6965"",""Read more"")"
"BOSTOM NURSERY PRIMARY SCHOOL, Owutu",Privately owned,Ikorodu,Nursery/Primary, bostomschools@gmail.com," 0806 314 7414,  0803 395 0426","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/7706"",""Read more"")"
"BOVIC NURSERY & PRIMARY SCHOOL, Oworosoki",Privately owned,Kosofe,Nursery/Primary, boviceduc.int@yahoo.com," 0808 820 0092,   0808 820 0092,    0813 436 3782","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4137"",""Read more"")"
"BRAINSFIELD MONTESSORI SCHOOL, Akowonjo/Shasha",Privately owned,Alimosho,Nursery/Primary, bunboysus@yahoo.com," 0803 360 8034,   0805 239 8706","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3496"",""Read more"")"
"BRAINSTAR INTERNATIONAL SCHOOL, Ago-Okota",Privately owned,Oshodi-Isolo,Nursery/Primary, brainstarinternational@yahoo.com," 0803 346 5839,  0802 586 0013","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4598"",""Read more"")"
"BRAZEN WALLS NURSERY & PRIMARY SCH,  Ikola-Odunsi",Privately owned,Alimosho,Nursery/Primary, brazenwallschool@yahoo.com," 0805 670 1779,     0802 507 4306","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3292"",""Read more"")"
"BREDEEMER NUR/PRY SCHOOL, Jakande",Privately owned,Ojo,Nursery/Primary, , 0703 737 3009,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4605"",""Read more"")"
"BRIGADE NURSERY/PRIMARY SCHOOL, Ojo",State owned,Ojo,Nursery/Primary, brigade@lagosschoolsonline.com," 0805 206 7680, 0807 456 9462","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2418"",""Read more"")"
"BRIGADE PRIMARY SCHOOL,  Maryland",State owned, Ikeja,Nursery/Primary, bridageprysch@lagosschoolsonline.com," 0807 457 3264,0802 397 5989","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2327"",""Read more"")"
"BRIGHT & SUCCESS SCHOOL, Idimu.",Privately owned,Alimosho,Nursery/Primary, bright_success98@yahoo.com, 0703 103 9234,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/76077"",""Read more"")"
"BRIGHT DESTINY SCHOOL, Mushin",Privately owned, Mushin,Nursery/Primary, ," 0802 857 5621,    0802 313 2103","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/6663"",""Read more"")"
"BRIGHT EXCELLENCE CHILDREN SCHOOL, Ilogbo",Privately owned,Ojo,Nursery/Primary, brightexcellence@yahoo.com," 0701 044 1260,     0802 505 5944","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4653"",""Read more"")"
"BRIGHT FUTURE INTERNATIONAL NUR/PRY SCHOOL, Shomolu",Privately owned, Shomolu,Nursery/Primary, info@brightfutureschool.com, 0813 476 3581,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/8478"",""Read more"")"
"BRIGHT HOPE CHILDREN SCHOOL, Ogba",Privately owned,Agege,Nursery/Primary, proprietor@brighthopeschools.org," 0703 973 0799, 0803 301 5550","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/61159"",""Read more"")"
"BRIGHT LEADERS PRIVATE SCHOOL, Olowoira",Privately owned,Kosofe,Nursery/Primary, brightleadersprivateschool@yahoo.com," 0803 524 6937,   0806 674 9714","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/9390"",""Read more"")"
"BRIGHT PEARL SCHOOL, Ijeshatedo",Privately owned,Surulere,Nursery/Primary, evelynegbuogu@yahoo.com," 0802 312 3576,  0803 242 1176","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/12169"",""Read more"")"
"BRIGHT RAINBOW INTERNATIONAL SCHOOL, Papa-Ajao",Privately owned, Mushin,Nursery/Primary, brisnp@gmail.com," 0802 341 7232,  0812 588 3156,  0802 318 9243,  01-738 4387","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4628"",""Read more"")"
"BRIGHT STAR SCHOOLS, Ilaje-Bariga",Privately owned, Shomolu,Nursery/Primary, brightstarschools14@yahoo.com," 0703 576 6225,  or  0809 507 3127,     0802 846 9123","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4376"",""Read more"")"
"BRIGHTER GLORY PRIVATE NURSERY & BASIC SCH,  Odogunyan",Privately owned,Ikorodu,Nursery/Primary, ," 0805 665 6756,   0805 618 1884,     01-739-5351","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3297"",""Read more"")"
"BRIGHTER HOPE COMPREHENSIVE HIGH SCHOOL, Ogba Asade ",Privately owned,Agege,Nursery/Primary, brighthopeschool@yahoo.com," 0803 301 5550, 0805 464 7517","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4034"",""Read more"")"
"BRIGHTEST & BEST NUR & PRY SCHOOL, Festac Town",Privately owned,Amuwo-Odofin,Nursery/Primary, toyintyne@yahoo.com, 0802 975 9809,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/51022"",""Read more"")"
BRIGHTON HALL  NUR/PRY ,Privately owned,,Nursery/Primary, , 0806 095 7990,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/105462"",""Read more"")"
"BRILLIANT ESTEEM NURSERY & PRIMARY, Obawole",Privately owned,Ifako/Ijaiye,Nursery/Primary, olapet80@yahoo.com," 0806 240 2970,    0806 051 9109","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/7955"",""Read more"")"
"BRILLIANT STARS NUR/PRY SCHOOL, Ijegun",Privately owned,Alimosho,Nursery/Primary, brilliantstars@yahoo.com.," 0803 848 2452, 0803 302 2986, 0808 866 4643.","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/9947"",""Read more"")"
"BROADWAY JUNIOR SCHOOL, Kirikiri",Privately owned,Ajeromi LGA,Nursery/Primary, broadway.juniorschool@yahoo.com, 0803 566 2159  or  01-894 3448,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2960"",""Read more"")"
"BROOKS MONTESSORI SCHOOL, Odogunyan",Privately owned,Ikorodu,Nursery/Primary, info@brooksmontesorrischool.com," 0802 526 8273, 0802 722 1064","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/77180"",""Read more"")"
"BSJ NURSERY & PRIMARY SCHOOL, Agege",Privately owned,Agege,Nursery/Primary, ," 0803 532 1680,   0805 770 3756","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/7055"",""Read more"")"
"BUFAD NURSERY & PRIMARY SCHOOL, Bariga",Privately owned,Shomolu,Nursery/Primary, , 0803 348 4110,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/7947"",""Read more"")"
"BUFAD NURSERY & PRIMARY SCHOOL, Bariga",Privately owned, Shomolu,Nursery/Primary, bufad2006@gmail.com, 0803 348 4110,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/49192"",""Read more"")"
"BUKKRIS ADEOLA NURSERY & PRIMARY SCHOOL, Akesan  ",Privately owned,Alimosho,Nursery/Primary, bukkrisadeolaprischools@yahoo.com," 0802 546 2143, 0805 935 2227","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5744"",""Read more"")"
"BUKYFIELD NURSERY & PRIMARY SCHOOL, Ketu",Privately owned,Kosofe,Nursery/Primary, bukyfieldschool@gmail.com," 0803 714 2787, 0803 482 1370","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/10986"",""Read more"")"
"BULKDEL NURSERY & PRIMARY SCHOOL, Ibeshe Titun",Privately owned,Ikorodu,Nursery/Primary, bukdelschools50@gmail.com, 0802 238 1638,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3787"",""Read more"")"
"BUMSY-JO NURSERY & PRIMARY SCHOOL, Somolu",Privately owned,Shomolu,Nursery/Primary, bumsy_jo@yahoo.com," 0803 580 0196,  0802 320 0422","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/10001"",""Read more"")"
"C.A.C KIDDIES NURSERY & PRIMARY SCHOOL, Ladi-Lak",Privately owned, Shomolu,Nursery/Primary, cackiddies.nurandpry@gmail.com," 0802 359 3283, 0809 619 9565, 0706 465 7909","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/11367"",""Read more"")"
"C.A.C. FAVOURED NUR/PRY SCHOOL, Mile 12",Privately owned,Kosofe,Nursery/Primary, cacfavoured@yahoo.com,"  08039229910, 08028399132, 0802-839-9132,   0802 344 1608,  01-8775036","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3371"",""Read more"")"
"C.M.S GIRLS SENIOR GRAMMAR SCHOOL II, Bariga",State owned,Shomolu,Nursery/Primary, , 0802-328-7833,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2351"",""Read more"")"
"C.M.S.PRIMARY SCHOOL, Bariga",State owned, Shomolu,Nursery/Primary, cms_1981@lagosschoolsonline.com, 0806 474 1245,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/11876"",""Read more"")"
"CAC NURSERY/PRIMARY SCHOOL, Mushin",Privately owned,,Nursery/Primary, cacolorunsogoschools@yahoo.com," 0802 909 5487, 0803 312 8520","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/49133"",""Read more"")"
"CAL COLLEGE, Egbeda",Privately owned,Alimosho,Nursery/Primary, ," 0706 280 4158,   0813 488 5528,  0808 599 0046     ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5289"",""Read more"")"
"CALEB INTERNATIONAL PRIMARY SCHOOL, Ikosi ",Privately owned,Kosofe,Nursery/Primary, info@calebcollege.org," 0809 847 5712, 01 7746 562","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/11040"",""Read more"")"
"CANAL NUR /PRY SCHOOL , Orile",State owned,Surulere,Nursery/Primary, canalprysch@lagosschoolsonline.com," 0815 909 2260,  0803 350 0888 ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2086"",""Read more"")"
"CAPSTONEVILE PRIVATE SCHOOL, Iju-Ishaga",Privately owned,Ifako/Ijaiye,Nursery/Primary, capstoneville@yahoo.com," 0809 830 4067, 0803 403 3027","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/77341"",""Read more"")"
"CARAMOT SCHOOL,  Lady Lak",Privately owned, Shomolu,Nursery/Primary," abdulgafar_11@yahoo.com,  caramotschools.2005@yahoo.com"," 0802 364 2287,  0802 352 6234","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/11132"",""Read more"")"
"CARDOSO PRIMARY SCHOOL,  Awodi-Ora",State owned,Ajeromi LGA,Nursery/Primary, cardoso@lagosschoolsonline.com, 08033465533,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2658"",""Read more"")"
CARING HANDS NURSERY PRIMARY SCHOOL,Privately owned,,Nursery/Primary, , 0809 178 1126,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/105309"",""Read more"")"
"CAROL SCHOOL NURSERY & PRIMARY SCHOOL, Agidingbi",Privately owned, Ikeja,Nursery/Primary, carolschools@yahoo.com," 0805 395 0442,  0705 678 3469,  01 775 4345 ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4185"",""Read more"")"
"CAROLINE INTERNATIONAL SCHOOL, Onike-Yaba",Privately owned,Lagos-Mainland,Nursery/Primary, , 0802 372 1418,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/8534"",""Read more"")"
CATCH THEM YOUNG NURSERY PRIMARY SCHOOL ,Privately owned,,Nursery/Primary, , 0802 360 1385,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/105434"",""Read more"")"
"CATHEDRAL OF ST. JUDE PRIVATE NUR/PRY SCHOOL, Ebute-Metta",Privately owned,Lagos-Mainland,Nursery/Primary, , 0803 661 8799,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/10061"",""Read more"")"
"CATHOLIC GIRLS PRIMARY SCHOOL,  Ebute-Metta",State owned,Lagos-Mainland,Nursery/Primary, cathgirlspry@lagosschoolsonline.com," 0807 456 9629,  0802 701 1613","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1483"",""Read more"")"
"CATLAD PRIVATE ACADEMY (NUR/PRY), Command-Ipaja",Privately owned,Alimosho,Nursery/Primary, catladnurryschool@yahoo.com, 0816 779 5632,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/62683"",""Read more"")"
"CEB NURSERY & PRIMARY SCHOOL, Ajegunle",Privately owned,Ajeromi LGA,Nursery/Primary, cebschool@yahoo.com," 0803 364 1890,  0802 338 3439,   0705 264 1344,  ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4564"",""Read more"")"
CEDAR GROVE NURSERY PRIMARY SCHOOL ,Privately owned,,Nursery/Primary, , 0803 305 6262,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/105350"",""Read more"")"
"CEDARWOOD NUR. & PRY SCHOOL, Mowo Kekere",Privately owned,Ikorodu,Nursery/Primary, cedarwoodschoolng@gmail.com, 0802 304 3346,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/77360"",""Read more"")"
